name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
Benalla P-12 College,Benalla,38,22,101,125,45,48,98,NA,73,78,23,1.4,512,7,-3,14,0,6,-22,1,NA,1,-9,0,1.4,-2
Bendigo Senior Sec College,Bendigo,79,34,1213,652,295,60,95,15,87,79,27,2.1,375,-3,-8,38,51,28,0,0,9,3,3,0,0.3,17
Bendigo TAFE,Bendigo,12,27,21,127,123,NA,NA,NA,80,74,NA,NA,537,2,-5,3,-20,-34,NA,NA,NA,12,18,NA,NA,-1
Bentleigh Secondary College,Bentleigh East,40,7,258,18,Less than 4,83,99,8,67,ID,29,4.8,230,3,1,12,9,NA,3,-1,4,-28,NA,0,1.2,39
Berry Street Victoria,Richmond,3,9,Less than 4,40,40,NA,ID,NA,65,41,ID,ID,538,NA,1,NA,-5,-3,NA,NA,NA,21,9,NA,NA,-1
Berwick Grammar School,Officer,22,2,52,Less than 4,NA,88,100,NA,ID,NA,33,10.9,75,-2,-2,-9,NA,NA,1,0,NA,NA,NA,2,1.8,52
Berwick Secondary College,Berwick,56,39,357,278,92,69,98,1,94,92,29,3.8,245,-1,9,16,59,3,-8,0,-3,-6,11,0,-1.8,-13
Beth Rivkah Ladies College,St Kilda East,27,6,64,60,Less than 4,97,100,6,85,ID,35,18.4,36,4,0,-13,14,NA,15,0,3,-10,NA,0,3.3,3
Bialik College,Hawthorn East,31,10,152,85,NA,100,100,2,100,NA,38,40.2,1,-9,-2,-4,13,NA,0,0,-2,3,NA,1,4.7,2
Billanook College,Mooroolbark,38,15,209,47,NA,92,100,13,99,NA,31,10.6,122,-6,2,21,-4,NA,0,0,2,1,NA,0,1.8,10
Birchip P-12 School,Birchip,20,13,30,35,11,79,100,NA,98,100,28,8.9,274,-1,3,-1,5,3,-3,0,NA,2,9,-1,4.7,-16
Blackburn High School,Blackburn,63,18,263,32,Less than 4,86,98,15,77,ID,29,6.5,216,13,2,-20,8,NA,14,1,3,-16,NA,-1,-0.3,-44
Boort District P-12 School,Boort,21,8,25,10,6,100,100,NA,74,82,30,3.1,208,4,5,2,6,2,21,0,NA,-2,25,0,-2,-18
Boronia K-12 College,Boronia,26,21,66,57,26,82,100,NA,69,71,25,0,473,3,-2,10,-5,-20,1,0,NA,-3,-21,2,-2.6,30
Box Hill High School,Box Hill,58,23,389,69,NA,94,100,41,77,NA,34,16.1,56,-10,-4,-2,-2,NA,5,2,7,-16,NA,1,1.1,10
Box Hill Institute,Box Hill,33,32,110,146,264,NA,NA,NA,77,50,NA,NA,539,4,10,-23,-11,20,NA,NA,NA,9,-14,NA,NA,-1
Box Hill Senior Sec College,Mont Albert North,40,19,216,135,19,72,98,1,73,93,26,1.9,416,5,3,-13,3,3,7,-2,-2,-8,0,1,0.4,50
Braemar College,Woodend,38,10,173,55,NA,87,99,8,96,NA,33,12.4,71,0,2,15,-5,NA,-10,-1,1,1,NA,0,0.9,6
Brauer College,Warrnambool,32,24,123,110,36,66,100,1,88,88,27,1.7,382,-2,5,-34,20,-4,3,4,0,-2,10,-1,-4.3,-94
Braybrook College,Braybrook,42,18,282,294,80,97,100,14,89,93,31,7.3,139,-4,-5,-1,5,-19,0,1,5,7,0,1,0.9,39
Brentwood Secondary College,Glen Waverley,45,6,391,26,NA,98,99,25,56,NA,30,8.3,168,-3,-6,-21,-7,NA,1,-1,-8,-1,NA,-1,2.4,-17
Bright P-12 College,Bright,27,12,37,42,14,61,100,2,70,49,30,4,203,-6,-1,-13,-7,-7,-6,0,NA,-8,-30,3,1.3,166
Brighton Grammar School,Brighton,37,3,218,6,NA,98,100,31,98,NA,34,18.3,46,1,-5,0,-6,NA,3,0,1,6,NA,0,-2.5,-1
Brighton Secondary College,Brighton East,62,22,362,81,NA,89,97,13,81,NA,29,6.7,213,6,3,26,14,NA,13,1,2,-9,NA,-1,0.5,-32
Broadford Secondary College,Broadford,30,16,104,77,33,31,92,NA,81,76,26,1.9,417,-6,0,-19,-8,-13,-12,-2,NA,-1,14,1,-0.1,40
Brunswick Secondary College,Brunswick,44,22,180,65,29,87,98,17,98,87,29,7.5,211,-12,0,-12,-20,-6,1,-1,NA,16,-1,-1,0.7,-38
Buckley Park College,Essendon,48,24,214,46,38,94,99,15,89,95,31,10,123,-1,3,-23,2,2,4,1,-1,-2,2,0,1.1,6
Bundoora Secondary College,Bundoora,32,20,85,67,29,76,100,NA,99,79,20,0.8,531,2,2,12,-6,-3,2,8,NA,21,13,-2,-0.3,-13
Camberwell Anglican Girls GS,Canterbury,29,1,171,Less than 4,NA,99,99,34,ID,NA,36,27.6,11,-5,0,7,NA,NA,-1,-1,-2,NA,NA,0,0.2,3
Camberwell Grammar School,Canterbury,45,12,301,49,NA,98,100,64,91,NA,35,23.4,26,1,-1,4,3,NA,-1,0,6,-7,NA,0,-1.1,4
Camberwell High School,Canterbury,64,29,329,86,22,94,98,24,88,67,32,8,112,-2,2,-12,11,0,3,2,-5,-3,-11,0,-1.9,-12
Camperdown College,Camperdown,14,16,17,30,12,90,100,NA,80,95,27,0,392,0,9,-4,12,1,-3,0,NA,13,14,-3,-1.5,-183
Cann River P-12 College,Cann River,5,2,4,6,NA,0,100,NA,76,NA,ID,ID,540,-4,1,-1,NA,NA,-25,25,NA,NA,NA,NA,NA,-29
