name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
McGuire College,Shepparton,32,12,101,74,29,82,98,NA,69,51,22,0.7,524,-13,-8,3,7,0,1,4,NA,4,6,-2,-2.6,-42
McKinnon Secondary College,Mckinnon,53,17,574,101,27,96,100,70,90,95,34,17.8,48,0,-3,44,-18,1,0,0,19,-3,-5,1,0.5,15
Melba College,Croydon,45,26,106,80,43,67,99,NA,86,76,27,2.5,367,2,4,-3,21,11,10,3,NA,-8,-6,-1,-1.6,-70
Melbourne Girls' College,Richmond,64,18,421,34,NA,97,99,43,100,NA,33,18.2,61,14,4,40,9,NA,0,-1,10,2,NA,0,3.6,10
Melbourne Girls Grammar,South Yarra,38,3,209,Less than 4,NA,99,100,36,ID,NA,35,25.1,21,-1,2,16,NA,NA,-1,0,-3,NA,NA,-1,-3.5,-10
Melbourne Grammar School,Melbourne,38,NA,374,NA,NA,98,100,68,NA,NA,36,27.5,14,-4,NA,-5,NA,NA,-1,0,0,NA,NA,2,4.7,28
Melbourne High School,South Yarra,56,18,672,62,NA,97,100,98,99,NA,37,34.2,2,-3,1,-14,-9,NA,2,0,-23,0,NA,1,3.6,7
Melbourne Polytechnic,Preston,17,25,41,189,189,NA,NA,NA,72,71,NA,NA,560,0,7,-38,-4,-6,NA,NA,NA,-5,2,NA,NA,-2
Melbourne Rudolf Steiner Schl,Warranwood,22,1,52,Less than 4,NA,87,97,NA,ID,NA,30,4.9,193,5,NA,-8,NA,NA,-4,-3,NA,NA,NA,-1,-1.8,-45
Melton Christian College,Brookfield,25,9,74,33,5,71,100,NA,96,79,26,2.4,412,-10,-8,12,10,-7,4,4,NA,26,6,0,1.7,26
Melton Secondary College,Melton,50,33,179,171,122,85,92,NA,73,86,28,2.8,318,0,4,20,32,23,1,-2,NA,17,11,1,-1.6,36
Mentone Girls' Grammar School,Mentone,34,3,161,27,NA,100,100,22,100,NA,34,21.5,42,-4,-1,-7,-3,NA,1,1,-4,0,NA,0,0.6,2
Mentone Girls' Sec College,Mentone,52,16,344,55,4,92,99,19,91,0,31,11.1,121,1,0,15,-6,NA,-1,-1,4,6,NA,0,1.9,5
Mentone Grammar School,Mentone,45,22,307,70,13,98,100,22,93,99,35,20.5,34,-1,8,43,8,6,4,1,9,4,-1,0,-0.7,2
Mercy College,Coburg,34,14,128,50,14,100,100,7,91,88,27,4,349,0,1,2,23,2,3,2,6,-8,-12,-2,0,-88
Mercy Regional College,Camperdown,31,15,138,68,9,82,99,NA,94,100,28,2.2,323,-2,0,-10,1,1,4,1,NA,-2,0,0,0.5,8
Merinda Park Learning Centre,Cranbourne,3,2,Less than 4,20,44,NA,ID,NA,18,31,ID,ID,561,2,-6,NA,-26,-17,NA,NA,NA,-6,8,NA,NA,-2
Methodist Ladies College,Kew,52,12,373,115,Less than 4,99,100,48,99,ID,36,26,17,6,0,-11,-18,NA,-1,0,3,0,NA,0,-2.3,-4
Mildura Senior College,Mildura,66,37,558,387,186,58,97,2,71,75,27,2.3,372,-3,-6,10,7,-4,-4,2,-1,-7,4,0,0.2,15
Mill Park Secondary College,Epping,70,28,413,222,66,85,93,1,74,93,24,1.8,484,3,-4,-18,-47,-9,4,-2,-4,-1,0,-1,-0.4,-30
Minaret College,Springvale,23,3,164,Less than 4,Less than 4,99,99,1,ID,ID,28,4.4,287,0,NA,8,NA,NA,-1,-1,NA,NA,NA,1,-0.3,63
Minaret College,Officer,14,NA,38,NA,NA,100,100,NA,NA,NA,25,0.9,466,1,NA,-7,NA,NA,0,0,NA,NA,NA,0,0,7
Mirboo North Sec College,Mirboo North,23,15,59,29,27,86,100,7,91,99,31,4.3,158,-7,-2,-13,-9,-6,19,0,5,13,9,2,2.8,124
Monbulk College,Monbulk,39,24,103,87,33,90,96,4,100,85,27,3.3,356,6,1,17,9,-13,15,-2,1,0,2,-2,-2.4,-125
Monivae College,Hamilton,34,14,113,70,17,69,100,NA,97,100,29,2.8,257,-5,-7,4,-1,-10,-2,0,NA,10,1,0,-0.1,18
Monterey Secondary College,Frankston North,21,15,53,66,54,88,100,NA,66,75,24,0,507,1,-2,2,-16,-4,30,8,NA,-4,0,2,0,17
Montmorency Sec College,Montmorency,31,19,144,48,37,90,99,6,99,89,30,4.2,201,-3,-5,22,2,-2,1,1,1,0,10,1,-1.7,28
Mooroolbark College,Mooroolbark,47,28,222,130,69,62,98,NA,85,66,27,1.9,379,-4,2,19,-22,-11,-16,1,NA,0,-5,0,-0.6,-4
Mooroopna Secondary College,Mooroopna,38,17,60,53,36,61,100,NA,63,64,26,0,444,3,-2,-16,-4,-1,-1,3,NA,-16,-22,3,-1.3,62
Mordialloc College,Mordialloc,42,32,114,73,54,86,98,1,93,80,30,9.8,164,1,7,-19,5,20,8,4,-1,0,-17,3,4.1,183
Mornington Secondary College,Mornington,57,28,389,99,91,67,97,6,82,92,27,1.6,383,2,-6,25,-36,-22,-1,1,4,6,0,0,0.5,17
Mortlake College,Mortlake,14,5,19,7,Less than 4,44,100,NA,100,ID,29,2.8,258,-5,-2,-3,-3,NA,-6,0,NA,0,NA,-4,-10.5,-186
Mount Alexander 7-12 Coll,Flemington,35,13,71,30,26,86,100,2,94,99,27,4.2,348,8,-5,7,-12,-13,-8,6,NA,9,5,1,2.7,86
Mount Beauty Sec College,Mount Beauty,33,10,61,38,4,64,96,1,72,82,28,2,325,5,-2,2,4,NA,20,0,-1,-28,NA,1,-0.1,63
Mount Clear College,Mount Clear,56,29,171,196,81,58,95,1,66,56,26,1.4,425,3,0,3,55,15,1,5,NA,-7,-4,2,0.1,62
Mount Eliza Sec College,Mount Eliza,42,32,148,79,31,72,99,1,76,71,29,3,256,-1,6,-14,-10,2,-12,0,-3,-13,-1,1,-1.2,40
Mount Erin College,Frankston,41,30,141,109,44,91,97,3,77,88,28,1.6,329,-1,8,8,45,7,22,-2,2,-15,0,1,0.7,73
Mount Evelyn Christian School,Mount Evelyn,33,18,77,80,48,80,100,NA,88,96,29,5.2,227,-3,0,-24,10,0,-3,0,NA,-1,21,-1,-0.2,-39
Mount Lilydale Mercy College,Lilydale,58,29,361,243,52,86,100,5,90,100,28,2.5,321,5,3,49,34,13,-4,1,-1,1,3,-1,-2.2,-71
Mount Ridley P-12 College,Craigieburn,38,24,217,136,91,97,96,3,90,100,26,1.1,432,-11,-4,15,-16,7,-2,-3,2,24,54,1,-1,23
Mount Scopus Memorial College,Burwood,40,15,207,182,NA,98,100,4,97,NA,36,29.1,10,-1,1,-5,15,NA,1,1,-2,0,NA,-1,-6.7,-8
Mount St Joseph Girls' College,Altona,49,22,202,52,34,95,99,12,74,100,31,11.5,119,-2,1,-11,-1,6,-5,-1,-1,-15,5,0,3.9,23
Mount Waverley Sec College,Mount Waverley,52,12,482,39,NA,96,98,44,97,NA,31,7.2,143,-7,-3,43,1,NA,-1,-1,7,17,NA,1,1.3,41
Mountain District Christian SC,Monbulk,13,3,20,Less than 4,NA,50,100,NA,ID,NA,27,2.3,373,-7,-5,-3,NA,NA,-7,7,NA,NA,NA,-3,-0.6,-165
Mountain District Learn Centre,Ferntree Gully,7,9,Less than 4,28,30,NA,ID,NA,46,39,ID,ID,562,4,4,NA,0,-1,NA,NA,NA,-16,-18,NA,NA,-2
Mt Hira College,Keysborough,14,NA,47,NA,NA,100,100,1,NA,NA,27,5,344,-2,NA,-14,NA,NA,0,0,0,NA,NA,0,2.8,42
Mullauna College,Mitcham,29,8,99,16,Less than 4,85,100,NA,83,ID,30,5.2,190,0,-2,-11,2,NA,-7,2,NA,-12,NA,-1,-3.1,-55
Murrayville Community College,Murrayville,10,3,23,12,5,50,100,NA,65,80,33,4.8,78,-7,-3,-2,-17,1,-50,0,NA,-12,-20,1,-16.6,3
Murtoa P-12 College,Murtoa,23,14,35,26,12,75,94,NA,77,72,29,8.9,210,4,5,-3,11,3,-9,-2,NA,-14,-28,1,6.5,113
Myrtleford P-12 College,Myrtleford,19,6,22,8,19,81,100,NA,100,100,24,0,508,-2,1,-8,-2,2,28,12,NA,0,21,-2,-1.6,-76
Nagle College,Bairnsdale,38,22,137,117,39,63,100,2,85,95,28,2,326,-2,3,-28,-9,2,12,1,1,-9,5,2,0.4,107
Narre Community Learn Centre,Narre Warren,7,15,14,75,68,NA,NA,NA,73,72,NA,NA,563,3,-1,8,11,14,NA,NA,NA,0,-1,NA,NA,-2
Narre Warren Sth P-12 College,Narre Warren South,44,26,300,232,218,100,100,1,100,100,32,10.7,95,-2,-2,38,-8,-17,3,2,-2,0,0,2,6.9,107
Nathalia Secondary College,Nathalia,29,13,39,35,20,44,100,NA,76,93,23,0,519,1,-3,10,2,5,-23,0,NA,1,2,-5,-2.2,-193
Nazareth College,Noble Park North,52,24,169,70,42,94,100,4,88,97,29,4.7,232,14,5,26,7,16,-5,0,3,-4,0,0,-0.3,10
Neerim District Sec College,Neerim South,24,9,32,21,12,94,100,NA,97,94,28,0,336,0,0,4,-4,0,2,0,NA,2,3,0,-6.2,-50
Newcomb Secondary College,Newcomb,45,28,84,107,67,41,93,NA,86,60,27,0,395,6,3,21,-11,-6,-10,2,NA,-11,-17,3,0,106
Newhaven College,Rhyll,29,3,129,45,NA,90,100,4,97,NA,31,8.2,134,-2,0,-8,12,NA,10,0,0,0,NA,0,3,21
Nhill College,Nhill,20,10,40,26,15,67,100,NA,79,72,28,1.9,327,-14,-4,-10,4,3,-7,0,NA,-9,-24,-1,-5.6,-111
Noble Park Secondary College,Noble Park,32,11,82,39,40,81,93,3,44,89,26,0.5,439,2,-1,-21,-8,-7,5,-4,0,-28,-2,1,-1.6,17
North Geelong Sec College,Geelong North,56,34,165,149,145,81,97,1,66,73,26,1.6,422,7,7,43,29,41,-4,1,NA,2,-16,1,-0.3,40
North Melbourne Grammar Coll,North Melbourne,10,NA,26,NA,NA,71,88,NA,NA,NA,25,0,477,1,NA,2,NA,NA,-2,8,NA,NA,NA,3,0,48
North Ringwood Comm House,Ringwood North,7,13,5,13,22,NA,NA,NA,71,38,NA,NA,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northcote High School,Northcote,83,33,448,183,24,90,98,27,85,80,30,6.6,178,23,3,6,30,12,-2,-1,2,0,2,-1,-2.3,-47
Northern Bay P-12 College,Corio,55,28,71,121,90,49,91,NA,77,56,22,2.2,521,15,-1,-3,28,19,-6,3,NA,7,8,0,2.2,5
Northern College of Arts & Tech,Preston East,49,29,286,408,228,36,97,NA,95,98,27,2.5,368,-7,1,-3,17,-4,-1,3,NA,1,-1,0,-2.1,-16
Northside Christian College,Bundoora,21,7,38,8,Less than 4,81,100,NA,91,ID,30,14.6,162,1,-1,10,-5,NA,18,0,NA,-7,NA,0,4.2,-2
Norwood Secondary College,Ringwood,45,25,272,110,34,62,100,NA,82,93,29,5.9,219,5,2,30,9,3,-12,2,NA,-10,-5,1,2.6,87
Nossal High School,Berwick,42,2,422,9,NA,99,99,56,100,NA,35,26.1,20,-3,-1,-2,-12,NA,0,-1,9,0,NA,-1,4.6,4
Notre Dame College,Shepparton,54,37,355,613,106,76,99,3,86,92,29,4.9,228,-12,-2,-40,-15,-16,1,0,0,-2,8,0,-1.8,-9
Numurkah Secondary College,Numurkah,25,17,51,44,29,38,94,NA,73,95,27,2.9,360,-4,-1,16,0,-6,13,-6,NA,-3,22,4,2.9,153
Nunawading Christian College,Nunawading,17,2,40,Less than 4,NA,96,100,NA,ID,NA,32,11.1,92,-1,-1,-3,NA,NA,-1,0,NA,NA,NA,2,2.9,73
Oakleigh Grammar,Oakleigh,23,4,93,4,NA,89,100,3,100,NA,29,1.7,270,-3,1,13,NA,NA,-7,0,-3,NA,NA,-1,-1.4,-63
Oakwood School,Caulfield North,16,25,69,119,53,NA,NA,NA,34,62,NA,NA,565,-2,-4,19,16,6,NA,NA,NA,-25,15,NA,NA,-3
Oberon High School,Belmont,49,25,98,43,29,67,98,1,74,94,27,4.6,345,5,7,-26,10,1,2,-2,-4,-21,3,-2,0.3,-89
Orbost Secondary College,Orbost,18,10,65,59,34,57,93,NA,80,56,24,0,509,1,3,5,-10,16,-7,-2,NA,18,-31,2,0,18
Our Lady of Mercy College,Heidelberg,46,14,294,31,8,99,100,25,93,82,32,11.5,90,-3,1,-45,-34,-4,2,0,-7,0,-18,0,0.5,4
Our Lady of Sacred Heart Coll,Bentleigh,44,19,176,220,27,97,99,7,98,99,33,11.5,73,-5,3,7,29,11,-2,1,4,-2,-1,1,3.3,33
Our Lady of Sion College,Box Hill,38,10,208,22,10,97,100,20,93,78,33,12.7,69,-7,-6,-9,-9,1,2,0,8,-1,-2,0,1.4,9
Ouyen P-12 College,Ouyen,16,7,33,31,10,70,100,NA,100,100,27,7.5,339,3,-1,14,-12,-5,-19,0,NA,5,0,-5,0,-227
Overnewton Anglican Comm Coll,Keilor,44,11,239,174,NA,90,99,3,81,NA,30,5,191,3,5,-6,16,NA,-4,-1,-3,-17,NA,0,-1.7,-17
Oxley Christian College,Chirnside Park,32,7,135,7,NA,98,100,7,100,NA,32,8.7,107,-4,0,-16,0,NA,4,0,1,0,NA,0,-1.3,-8
Ozford College,Melbourne,14,1,28,23,23,60,75,NA,84,83,20,2.2,530,4,0,13,-4,-7,-20,-25,NA,-16,-15,-1,2.2,0
Padua College,Mornington,69,45,541,398,92,79,99,4,94,88,30,4.3,199,11,8,98,156,28,-2,0,-4,0,1,1,0.4,63
Pakenham Secondary College,Pakenham,48,30,120,96,73,98,100,NA,97,81,27,1.9,380,-6,-6,-10,-23,-11,2,0,NA,0,2,0,0.1,13
Parade College,Bundoora,50,19,451,297,138,85,100,12,85,98,30,7.5,173,-10,-2,92,16,15,-7,0,-11,-4,-1,-1,0.9,-24
Parkdale Secondary College,Mordialloc,74,31,389,204,71,70,98,4,86,94,29,4.5,234,15,-1,29,6,0,2,1,-3,-12,-2,0,0.8,34
Parkville College,Parkville,11,23,6,180,130,0,100,NA,84,89,NA,NA,566,7,-4,NA,28,34,0,NA,NA,-12,-9,NA,NA,-3
Pascoe Vale Girls Sec College,Pascoe Vale,40,18,250,76,54,93,99,12,85,89,27,2.4,371,1,3,-16,-25,18,2,6,-8,7,13,0,-0.3,-1
Patterson River Sec College,Carrum,56,31,179,105,56,64,94,1,81,92,27,0,396,4,-1,4,0,5,-6,-1,-1,-16,-6,-1,-1.6,-64
Peninsula Grammar,Mount Eliza,40,13,287,17,NA,96,99,8,94,NA,32,10,99,-4,2,3,1,NA,3,-1,0,11,NA,-1,-4.9,-31
Penleigh & Essendon Grammar,Keilor East,40,4,309,8,NA,97,100,59,98,NA,35,24.3,23,2,-1,21,-1,NA,1,0,-9,13,NA,0,0.3,8
Penola Catholic College,Broadmeadows,56,36,317,271,80,86,100,12,85,81,27,2.9,361,-1,5,54,28,10,4,1,4,-7,-10,-2,0.8,-80
Peter Lalor Vocational Coll,Lalor,14,26,20,91,125,NA,NA,NA,83,60,NA,NA,567,-2,1,-10,-17,4,NA,NA,NA,-15,-24,NA,NA,-3
Phoenix P-12 Comm Coll,Sebastopol,39,28,126,146,96,64,95,NA,80,85,27,2,376,2,12,-24,21,34,-9,-4,NA,1,-4,1,0.1,52
Pines Learning,Doncaster East,3,15,4,13,28,NA,NA,NA,74,46,NA,NA,568,-3,3,-1,0,-4,NA,NA,NA,18,1,NA,NA,-3
Plenty Valley Christian College,Doreen,39,22,114,64,7,80,100,1,98,100,29,4.2,238,-1,0,10,-6,-8,-9,0,-1,7,0,-1,-1.6,-52
Point Cook Senior Sec College,Point Cook,65,32,326,200,109,84,94,3,81,88,27,3.6,353,8,-1,27,-32,0,0,-1,2,2,-6,0,0.9,18
Portland Secondary College,Portland,30,8,142,103,45,49,99,NA,75,79,25,0.8,467,-6,-5,1,0,4,-13,2,NA,-5,10,-1,0.2,-27
Presbyterian Ladies' College,Burwood,36,2,239,Less than 4,NA,100,100,64,ID,NA,36,31.7,6,4,1,-41,NA,NA,0,0,-8,NA,NA,0,3.2,6
Presentation College,Windsor,37,11,138,63,9,95,99,8,97,100,30,7.5,174,-11,-9,-14,3,1,-1,0,2,8,0,0,0.9,1
Preshil The Margaret Lyttle SC,Kew,24,4,27,5,NA,85,96,2,54,NA,30,3.7,207,2,-4,-20,-6,NA,0,0,NA,-31,NA,1,0.7,66
Preston Reservoir ACE,Reservoir,2,6,Less than 4,46,65,NA,ID,NA,37,30,ID,ID,569,NA,4,NA,-12,2,NA,NA,NA,4,-1,NA,NA,-3
Princes Hill Sec College,Princes Hill,49,23,191,38,20,93,100,17,96,87,32,13.8,81,6,3,-2,-5,6,2,2,6,3,-6,1,3.9,40
Rainbow P-12 College,Rainbow,16,6,15,7,5,100,100,1,100,100,28,0,337,-2,0,-4,-2,0,29,0,NA,11,12,0,-2.5,-15
Red Cliffs Secondary College,Red Cliffs,36,19,88,63,40,39,100,NA,55,77,22,1.7,522,4,0,-51,-14,-10,0,1,NA,-13,-2,-2,-0.6,-38
Reservoir High School,Reservoir,36,15,100,40,23,82,100,3,87,94,27,4.4,346,-4,-2,-22,-16,5,-3,3,-5,6,-2,0,1.4,18
Ringwood Secondary College,Ringwood,70,38,351,129,49,91,97,12,81,94,30,5.5,185,-6,4,0,17,0,2,0,1,1,8,1,-0.7,40
River Nile School,North Melbourne,1,5,10,26,46,NA,NA,NA,77,34,NA,NA,570,0,2,NA,0,12,NA,NA,NA,19,3,NA,NA,-3
RMIT TAFE,Melbourne,41,3,264,Less than 4,Less than 4,52,69,NA,ID,ID,26,2.2,415,5,-2,-2,NA,NA,0,-1,NA,NA,NA,1,0.5,50
Robinvale College,Robinvale,14,12,23,38,26,75,94,NA,61,80,21,1.5,528,-8,0,-25,-15,2,29,-1,NA,-15,-14,-3,0.5,-38
Rochester Secondary College,Rochester,31,12,72,52,27,90,100,1,72,89,27,2.9,362,-1,-3,-20,0,-2,15,2,-3,-7,-10,0,1.4,34
Rosebud Secondary College,Rosebud,64,35,208,119,76,68,99,11,93,76,29,3.8,246,5,3,-8,-4,3,-5,0,5,4,-10,1,2,83
Rosehill Secondary College,Niddrie,50,15,215,30,27,79,95,4,73,77,29,4.2,239,6,3,-1,-11,-4,-1,-4,0,-16,-11,0,1.8,37
Rowville Secondary College,Rowville,62,47,385,258,131,63,92,NA,86,81,26,1.6,423,-10,6,-107,26,20,4,-2,NA,8,1,-1,0.1,-26
Roxburgh College,Roxburgh Park,37,19,262,399,112,90,85,NA,81,88,25,3.5,451,4,4,9,16,5,-3,-7,NA,-4,5,0,2.2,19
Rushworth P-12 College,Rushworth,15,7,16,9,14,50,88,NA,95,95,26,0,445,-4,-3,-2,-1,6,-4,-12,NA,32,27,0,0,1
Rutherglen High School,Rutherglen,23,13,45,50,17,29,100,NA,87,69,28,4,298,1,4,-21,-12,4,-12,3,NA,-1,-19,2,1,120
Ruyton Girls' School,Kew,36,3,159,9,NA,100,100,36,81,NA,37,29.9,5,-1,-4,-1,-9,NA,0,0,9,-19,NA,1,3.1,11
Sacre Coeur,Glen Iris,29,3,156,4,NA,99,100,19,100,NA,36,26.5,16,-7,-1,0,-1,NA,-1,0,3,0,NA,0,0.2,2
Sacred Heart College,Yarrawonga,19,15,65,75,15,72,100,NA,97,95,28,4.9,284,-12,-2,12,-13,-6,-28,0,NA,-1,2,0,3.9,52
Sacred Heart College Geelong,Newtown,70,33,401,241,58,88,100,6,99,98,31,8,136,1,0,14,36,-1,-3,0,-7,0,0,-3,-5.6,-78
Sacred Heart College Kyneton,Kyneton,40,19,195,130,39,90,100,4,77,87,31,6.6,150,-6,-1,15,5,13,3,0,0,-10,-12,0,-2.8,-27
Sacred Heart Girls' College,Hughesdale,45,13,243,30,NA,98,100,13,93,NA,32,10.9,93,1,4,30,9,NA,-1,0,-7,-7,NA,-2,-2.7,-34
Saint Ignatius College,Drysdale,46,26,259,77,52,77,100,7,89,98,31,6,154,-4,1,64,19,7,7,0,3,-7,7,-1,-1.9,-45
Sale College,Sale,32,17,128,89,52,52,99,NA,85,60,25,1.2,464,-9,-1,-32,-5,-17,-13,3,NA,2,-24,0,0.3,10
Salesian College,Chadstone,42,11,214,62,19,89,99,10,94,99,31,6.4,153,-6,-6,-15,7,-8,-2,-1,2,-2,4,0,1.4,3
Salesian College Sunbury,Sunbury,51,27,273,109,52,93,99,5,80,84,29,3.1,254,2,-2,68,-22,-9,3,0,2,0,5,0,0.8,23
Sandringham College,Sandringham,65,31,280,186,55,74,95,7,87,91,28,3.8,304,9,8,3,33,9,-6,-2,1,-3,2,-1,0.3,-34
Santa Maria College,Northcote,51,18,236,41,8,97,100,4,91,91,31,7.9,137,8,5,16,3,1,3,0,-2,10,-9,0,-2.2,-19
Scoresby Secondary College,Scoresby,28,20,50,37,16,72,100,NA,81,100,28,1.6,330,7,5,0,10,-2,-5,0,NA,-9,7,4,1.6,172
Scotch College,Hawthorn,45,8,450,11,NA,97,100,83,99,NA,35,21.6,31,-1,3,11,3,NA,0,0,1,28,NA,-1,-5.2,-14
SEDA College,Hawthorn East,13,13,402,740,750,NA,NA,NA,93,91,ID,ID,571,3,6,-49,-67,-74,NA,NA,NA,-1,-1,NA,NA,-3
Seymour College,Seymour,41,31,91,142,29,66,95,NA,79,90,26,1.3,429,11,9,6,20,4,-6,7,NA,-17,3,1,-1.3,21
Shelford Girls' Grammar,Caulfield,35,7,131,10,NA,98,100,13,100,NA,35,22.3,30,-7,-5,-6,-12,NA,1,0,-6,0,NA,-1,-3.1,-10
Shepparton ACE College,Shepparton,3,7,7,23,58,NA,NA,NA,67,50,NA,NA,572,2,3,3,-2,-4,NA,NA,NA,2,-1,NA,NA,-3
Shepparton Christian College,Shepparton,23,16,26,23,11,69,100,NA,91,100,27,1.4,385,-10,2,-7,1,2,13,0,NA,14,32,-1,-9.1,-100
Shepparton High School,Shepparton,44,22,86,79,82,62,87,1,81,89,24,0.5,495,-3,-1,-39,-15,-3,-11,3,NA,9,3,0,-1.5,-10
Sherbrooke Community School,Sassafras,23,12,32,35,8,58,100,NA,82,48,26,0,446,9,1,4,3,-1,18,20,NA,8,-20,1,-2.6,5
Siena College,Camberwell,43,13,191,25,NA,99,99,14,98,NA,34,17.5,50,2,4,27,11,NA,-1,-1,9,0,NA,0,3.2,7
Simonds Catholic College,Fitzroy North,32,22,91,33,15,88,100,3,76,99,29,2.7,262,-2,4,-16,-12,0,-4,2,-3,-8,4,-2,-1.5,-104
Sirius College - Eastmeadows,Broadmeadows,18,NA,144,NA,NA,100,100,3,NA,NA,31,11.4,120,1,NA,6,NA,NA,0,0,-6,NA,NA,0,2,4
Sirius College - Keysborough,Keysborough,17,NA,57,NA,NA,100,100,NA,NA,NA,28,5.8,278,1,NA,-8,NA,NA,0,0,NA,NA,NA,-1,0.3,-44
Sirius College - Meadow Fair,Broadmeadows,19,NA,143,NA,NA,99,100,2,NA,NA,31,13.3,116,1,NA,-6,NA,NA,2,0,1,NA,NA,-2,0.9,-42
Skillsplus,Frankston,14,13,6,100,99,NA,NA,NA,65,61,NA,NA,573,7,9,NA,9,8,NA,NA,NA,-13,-8,NA,NA,-3
Somerville Secondary College,Somerville,25,18,44,35,28,70,100,1,78,82,26,0.9,434,-1,0,-3,14,4,31,6,NA,-15,-12,1,-1.1,24
South Oakleigh Sec College,Oakleigh South,30,1,100,15,NA,85,95,NA,77,NA,29,2.8,259,0,-1,16,-10,NA,12,-2,NA,-6,NA,0,-0.2,15
South West Institute of TAFE,Warrnambool,9,18,4,91,112,NA,NA,NA,71,84,NA,NA,574,-12,-5,-22,-42,-41,NA,NA,NA,20,25,NA,NA,-3
Southern Cross Grammar,Caroline Springs,19,5,42,14,NA,100,100,NA,100,NA,31,4.6,157,13,2,26,1,NA,NA,NA,NA,0,NA,-3,-3.7,-95
Southern Grampians Adult Edu,Hamilton,NA,6,NA,22,24,NA,NA,NA,59,46,NA,NA,575,NA,2,NA,-1,1,NA,NA,NA,-12,-12,NA,NA,-3
St Albans Secondary College,St Albans,51,26,246,137,72,92,97,23,80,90,30,6.5,179,3,1,-11,-91,-20,2,2,5,-4,-1,0,-1.9,-15
St Aloysius College,North Melbourne,40,14,118,27,14,96,100,10,100,100,30,7.8,170,5,1,8,1,4,-2,0,2,0,0,-2,2.9,-56
St Andrews Christian College,Wantirna South,34,9,67,20,NA,81,97,NA,100,NA,31,8.2,135,2,1,9,9,NA,-15,-3,NA,0,NA,-1,-2.6,-38
St Arnaud Secondary College,St Arnaud,27,15,35,23,19,52,91,NA,61,89,24,1.1,490,5,3,5,-3,4,-29,-9,NA,-9,6,-2,0.1,-55
St Augustine's College,Kyabram,35,16,85,52,12,78,100,1,91,100,28,3.9,300,3,-4,16,10,2,-8,7,NA,-4,6,-1,0.1,-36
St Bede's College,Mentone,49,18,333,99,56,88,98,7,96,98,30,7.8,171,4,-1,-16,-19,13,2,-2,1,0,-2,-1,-0.1,-30
St Bernard's College,Essendon,45,21,327,158,43,86,100,9,83,98,31,8.8,130,-1,-3,13,14,17,-4,0,4,-10,3,0,0.8,10
St Brigid's College,Horsham,39,18,95,47,82,47,100,1,98,97,28,3.1,313,3,-1,-9,-10,-3,-31,2,NA,29,12,0,0.4,7
St Catherine's School,Toorak,39,9,149,19,NA,99,100,12,100,NA,35,19.6,35,3,1,-12,0,NA,0,0,-13,4,NA,1,-0.4,12
St Columba's College,Essendon,45,13,239,64,15,97,100,16,97,100,32,12.2,85,-8,-1,2,9,3,-2,0,6,1,10,0,0.3,5
St Francis Xavier College,Beaconsfield,62,31,541,441,176,83,99,12,94,89,30,5.3,189,6,3,28,24,29,6,0,-5,-1,-1,1,1,68
St Helena Secondary College,Eltham,41,27,380,252,43,79,98,1,75,91,29,3.9,244,-13,-1,-9,-49,6,-8,-1,0,-10,-3,-1,-1.8,-57
St John's Greek Orth College,Preston,19,2,22,Less than 4,NA,63,94,1,ID,NA,29,4.3,237,1,NA,3,NA,NA,-4,-6,-1,NA,NA,3,0.9,178
St John's Regional College,Dandenong,44,22,247,117,53,94,100,2,86,92,27,2.7,364,-2,1,43,-21,23,6,1,-3,-8,-6,-1,-0.3,-50
St Joseph's College,Newtown,62,31,433,282,40,74,98,11,98,94,31,9.8,126,11,9,46,46,-15,2,-1,8,0,-5,0,-0.2,-6
St Joseph's College,Ferntree Gully,47,27,257,313,64,83,100,1,90,100,30,5.7,183,-4,-2,-13,-30,-2,-5,1,0,1,2,0,-0.7,-3
St Joseph's College,Mildura,41,25,122,95,30,75,100,NA,71,98,29,5.6,224,-7,-2,-51,4,-10,2,0,NA,-6,9,0,-0.7,-1
St Joseph's College,Echuca,39,22,227,235,29,81,96,2,90,97,29,1.8,269,-2,0,-34,11,7,6,0,1,-3,2,1,0,61
St Kevin's College,Toorak,36,8,358,12,NA,100,100,39,98,NA,36,30.2,7,-3,3,-13,4,NA,2,0,15,-2,NA,-1,-0.6,-2
